checkpoint,steps,mean_reward,std_reward
sac_models_optimizers_position_69000.pth,69000,-22.883532240434597,35.770457990924726
sac_models_optimizers_position_69500.pth,69500,-36.161472372851,44.26871031095322
sac_models_optimizers_position_70000.pth,70000,-49.20963881356893,55.720701356667114
sac_models_optimizers_position_70500.pth,70500,-83.44197273653013,101.59450657240492
sac_models_optimizers_position_71000.pth,71000,-141.06596029496578,120.02645762467735
sac_models_optimizers_position_71500.pth,71500,-59.420761752759155,66.62908259168621
sac_models_optimizers_position_72000.pth,72000,-73.24632164556404,108.50889207302886
sac_models_optimizers_position_72500.pth,72500,-19.704732967498046,20.7728522986428
sac_models_optimizers_position_73000.pth,73000,-16.290654684874642,20.271706094069113
sac_models_optimizers_position_73500.pth,73500,-14.371690596360015,18.96696253413892
sac_models_optimizers_position_74000.pth,74000,-13.975142556808871,13.420347157926885
sac_models_optimizers_position_74500.pth,74500,-26.186687879111087,36.63551619105659
sac_models_optimizers_position_75000.pth,75000,-31.018869504358165,38.6277249443663
sac_models_optimizers_position_75500.pth,75500,-36.0037213731197,45.79363272030338
sac_models_optimizers_position_76000.pth,76000,-30.365839642412066,38.7239075877107
sac_models_optimizers_position_76500.pth,76500,-29.140779223132714,34.419192672061655
sac_models_optimizers_position_77000.pth,77000,-36.873561974649526,60.30946310925305
sac_models_optimizers_position_77500.pth,77500,-27.06810373944857,40.956375204373046
sac_models_optimizers_position_78000.pth,78000,-50.392496526136355,60.667235743802784
sac_models_optimizers_position_78500.pth,78500,-19.642887584650403,28.324142344742235
sac_models_optimizers_position_79000.pth,79000,-29.256160359978725,30.708217173755337
sac_models_optimizers_position_79500.pth,79500,-10.50265705101711,17.25241188381053
sac_models_optimizers_position_80000.pth,80000,-10.704847135002996,14.832236299706294
sac_models_optimizers_position_80500.pth,80500,-44.75627839970849,63.84820438424571
sac_models_optimizers_position_81000.pth,81000,-45.682399835767654,48.17207890868868
sac_models_optimizers_position_81500.pth,81500,-37.77453483411571,50.75184818369526
sac_models_optimizers_position_82000.pth,82000,-36.82171949105916,56.01131986114696
sac_models_optimizers_position_82500.pth,82500,-21.7257418972462,24.503903986592583
sac_models_optimizers_position_83000.pth,83000,-28.018132453545345,43.4872859323103
sac_models_optimizers_position_83500.pth,83500,-18.361193647973774,26.7945384563606
sac_models_optimizers_position_84000.pth,84000,-13.435286260207876,14.27216032961899
sac_models_optimizers_position_84500.pth,84500,-52.39761897795542,61.094083810189744
sac_models_optimizers_position_85000.pth,85000,-13.006419900085131,14.240921543402019
sac_models_optimizers_position_85500.pth,85500,-9.463040097083029,10.611262407298144
sac_models_optimizers_position_86000.pth,86000,-29.147924710539872,32.31409739182151
sac_models_optimizers_position_86500.pth,86500,-62.53212549083237,84.63858206234914
sac_models_optimizers_position_87000.pth,87000,-49.52412621401352,70.21165120574268
sac_models_optimizers_position_87500.pth,87500,-59.1429783221058,72.46133378652728
sac_models_optimizers_position_88000.pth,88000,-126.38957495799623,157.0159689187776
sac_models_optimizers_position_88500.pth,88500,-49.90999578638394,48.566205904259974
sac_models_optimizers_position_89000.pth,89000,-45.655492820699656,68.0638396776324
sac_models_optimizers_position_89500.pth,89500,-31.927077837243477,47.11809519224897
sac_models_optimizers_position_90000.pth,90000,-39.16187448474984,43.89241243121204
sac_models_optimizers_position_90500.pth,90500,-28.78342654800439,38.15164908889295
sac_models_optimizers_position_91000.pth,91000,-29.153929257942327,35.73248815976029
sac_models_optimizers_position_91500.pth,91500,-113.41690242255233,163.8248363944722
sac_models_optimizers_position_92000.pth,92000,-21.52972038405909,30.355228572185055
sac_models_optimizers_position_92500.pth,92500,-50.48655287247862,58.79104535492789
sac_models_optimizers_position_93000.pth,93000,-66.5587677495563,106.69840309105139
sac_models_optimizers_position_93500.pth,93500,-30.59366115343541,32.640317606510955
sac_models_optimizers_position_94000.pth,94000,-41.1213859427469,60.89715568882853
sac_models_optimizers_position_94500.pth,94500,-65.07157628180303,72.34202237351818
sac_models_optimizers_position_95000.pth,95000,-38.597750851975604,51.21660432486177
sac_models_optimizers_position_95500.pth,95500,-21.44102937139576,22.856189619168536
sac_models_optimizers_position_96000.pth,96000,-18.47459808730544,22.58008037174638
sac_models_optimizers_position_96500.pth,96500,-22.553737473389035,32.67688614147902
sac_models_optimizers_position_97000.pth,97000,-11.623679562104465,9.895345761318664
sac_models_optimizers_position_97500.pth,97500,-52.41262063293628,58.38863893873159
sac_models_optimizers_position_98000.pth,98000,-14.184078879204668,11.776013315079
sac_models_optimizers_position_98500.pth,98500,-15.005550465817558,18.774049233283677
sac_models_optimizers_position_99000.pth,99000,-16.199067547261727,15.707463232894357
sac_models_optimizers_position_99500.pth,99500,-12.060511264502104,9.609192290751405
sac_models_optimizers_position_100000.pth,100000,-12.737164285921878,15.812835492964924
